TimeStamp [DD/MM/YYYY_HH:MM:SS]	Time [s]	OB1_MK4 Ch.  1(Target)[mbar]	OB1_MK4 Ch.  1(Read)[mbar]	Flow_1(Target) [µl/min]	Flow_1(Read)[µl/min]	
7/14/2026 12:18:16 PM	8.2220	0.0000	27.1500	0.0000	142.5300	
7/14/2026 12:18:16 PM	8.2720	0.0000	27.1500	0.0000	142.7800	
7/14/2026 12:18:16 PM	8.3220	0.0000	27.1500	0.0000	141.8100	
7/14/2026 12:18:16 PM	8.3730	0.0000	27.1500	0.0000	141.8100	
7/14/2026 12:18:17 PM	8.4230	0.0000	27.2000	0.0000	144.0900	
7/14/2026 12:18:17 PM	8.4720	0.0000	27.1500	0.0000	137.9300	
7/14/2026 12:18:17 PM	8.5220	0.0000	27.1500	0.0000	137.9300	
7/14/2026 12:18:17 PM	8.5720	0.0000	27.1500	0.0000	147.1000	
7/14/2026 12:18:17 PM	8.6230	0.0000	27.2000	0.0000	134.5800	
7/14/2026 12:18:17 PM	8.6720	0.0000	27.2600	0.0000	134.5800	
7/14/2026 12:18:17 PM	8.7230	0.0000	27.2000	0.0000	152.4600	
7/14/2026 12:18:17 PM	8.7730	0.0000	27.1500	0.0000	147.2400	
7/14/2026 12:18:17 PM	8.8230	0.0000	27.2000	0.0000	157.3000	
7/14/2026 12:18:17 PM	8.8720	0.0000	27.2000	0.0000	157.3000	
7/14/2026 12:18:17 PM	8.9230	0.0000	27.1500	0.0000	153.0800	
7/14/2026 12:18:17 PM	8.9740	0.0000	27.2000	0.0000	150.7300	
7/14/2026 12:18:17 PM	9.0220	0.0000	27.1500	0.0000	150.7300	
7/14/2026 12:18:17 PM	9.0720	0.0000	27.2000	0.0000	155.7800	
7/14/2026 12:18:17 PM	9.1220	0.0000	27.1500	0.0000	158.7900	
7/14/2026 12:18:17 PM	9.1720	0.0000	27.2000	0.0000	158.7900	
7/14/2026 12:18:17 PM	9.2220	0.0000	27.1500	0.0000	157.0900	
7/14/2026 12:18:17 PM	9.2730	0.0000	27.1500	0.0000	146.6100	
7/14/2026 12:18:17 PM	9.3220	0.0000	27.1500	0.0000	146.6100	
